Date,Close_TATACHEM,Close_TATASTEEL,Close_TATACOMM,Close_TCS,Close_TATAMOTORS
2011-05-03,368.5,603.25,229.95,1138.45,1163.1
2011-05-04,361.85,589.75,227.1,1137.05,1159.3
2011-05-05,359.9,583.05,220.75,1115.0,1137.15
2011-05-06,367.8,594.5,224.0,1148.95,1199.95
2011-05-09,367.05,595.1,222.15,1135.55,1176.85
2011-05-10,367.05,588.4,222.1,1139.9,1186.25
2011-05-11,372.9,594.2,222.4,1140.25,1211.65
2011-05-12,373.0,584.7,221.0,1111.75,1187.0
2011-05-13,374.05,594.0,223.15,1127.1,1211.05
2011-05-16,365.15,577.8,221.1,1131.1,1215.75
2011-05-17,358.55,573.95,219.55,1141.7,1189.0
2011-05-18,363.4,571.7,216.4,1155.05,1149.15
2011-05-19,356.65,562.75,213.9,1164.85,1150.85
2011-05-20,362.05,579.55,214.1,1175.0,1168.65
2011-05-23,351.05,559.4,211.6,1166.55,1129.45
2011-05-24,352.6,566.5,210.4,1149.9,1121.85
2011-05-25,358.3,561.2,206.8,1128.6,1133.8
2011-05-26,359.05,574.15,210.7,1135.75,1162.4
2011-05-27,362.6,585.2,215.05,1144.55,1088.85
2011-05-30,372.6,579.3,212.3,1151.95,1077.35
2011-05-31,381.35,589.0,214.9,1157.15,1095.3
2011-06-01,382.85,582.3,222.15,1175.4,1079.9
2011-06-02,374.5,574.9,226.85,1167.75,1048.2
2011-06-03,373.45,573.25,222.2,1152.1,1023.8
2011-06-06,377.45,567.9,221.0,1164.35,1023.7
2011-06-07,374.6,577.95,220.9,1179.3,1027.2
2011-06-08,372.55,577.7,218.55,1181.4,1028.55
2011-06-09,375.05,577.05,221.75,1186.35,1021.15
2011-06-10,370.7,569.45,216.75,1189.2,1019.6
2011-06-13,367.8,562.95,214.35,1175.3,1010.3
2011-06-14,373.3,561.0,214.2,1191.05,984.0
2011-06-15,370.4,561.4,210.85,1184.25,994.15
2011-06-16,369.05,553.25,208.85,1151.15,983.65
2011-06-17,371.9,573.05,205.25,1109.2,980.95
2011-06-20,365.6,561.15,190.2,1069.3,931.0
2011-06-21,360.65,558.2,190.5,1106.75,936.2
2011-06-22,351.55,558.1,184.4,1083.5,935.9
2011-06-23,350.2,556.55,183.5,1097.0,945.0
2011-06-24,361.95,578.95,188.75,1137.75,966.45
2011-06-27,366.05,589.35,188.2,1150.6,977.75
2011-06-28,366.55,587.25,189.85,1154.0,984.7
2011-06-29,366.85,601.6,192.9,1169.85,997.15
2011-06-30,372.8,610.25,197.1,1184.2,994.2
2011-07-01,371.7,602.3,204.1,1191.9,994.7
2011-07-04,369.85,597.5,209.65,1185.7,1011.65
2011-07-05,378.35,597.4,219.65,1179.45,1015.95
2011-07-06,385.05,597.85,215.3,1182.8,1035.5
2011-07-07,384.25,606.7,218.35,1195.9,1055.45
2011-07-08,379.5,594.9,211.75,1171.65,1054.0
2011-07-11,383.05,587.8,208.55,1156.65,1052.85
2011-07-12,377.55,572.0,201.45,1145.35,1024.9
2011-07-13,380.95,575.0,203.2,1149.05,1045.7
2011-07-14,382.45,576.55,204.95,1123.7,1068.1
2011-07-15,381.6,572.95,204.75,1146.05,1033.05
2011-07-18,379.1,571.6,215.0,1125.05,1014.8
2011-07-19,383.5,576.4,215.0,1140.05,983.95
2011-07-20,382.85,575.45,215.0,1132.45,968.85
2011-07-21,379.85,573.35,216.25,1122.55,977.0
2011-07-22,382.1,584.25,220.4,1133.4,996.95
2011-07-25,374.4,591.25,232.65,1139.9,1006.4
2011-07-26,371.3,583.35,225.6,1144.65,973.05
2011-07-27,371.9,579.85,228.55,1147.15,957.7
2011-07-28,362.6,568.65,220.7,1129.55,950.7
2011-07-29,354.5,564.0,222.7,1137.0,948.1
2011-08-01,354.95,573.8,223.5,1135.25,961.5
2011-08-02,350.7,564.4,213.9,1130.65,956.4
2011-08-03,350.85,563.35,216.25,1110.35,928.15
2011-08-04,353.9,557.75,212.5,1095.85,913.95
2011-08-05,352.3,532.95,206.9,1057.95,889.6
2011-08-08,352.85,509.1,204.55,1005.35,827.7
2011-08-09,350.4,485.15,199.45,964.8,794.05
2011-08-10,361.9,484.95,201.6,984.05,844.2
2011-08-11,354.4,484.4,216.5,978.35,849.0
2011-08-12,356.0,474.95,207.25,947.15,800.0
2011-08-16,356.55,469.0,204.35,973.6,801.55
2011-08-17,355.3,472.9,201.4,999.9,778.85
2011-08-18,348.35,462.6,195.1,962.35,752.05
2011-08-19,351.2,459.4,189.5,928.95,712.35
2011-08-22,354.3,469.95,197.0,918.05,737.0
2011-08-23,348.8,475.5,200.1,981.6,727.6
2011-08-24,350.15,454.5,199.25,962.6,700.75
2011-08-25,342.1,443.7,197.0,950.4,714.25
2011-08-26,334.2,422.3,190.05,948.45,698.5
2011-08-29,332.0,447.4,200.5,1019.6,730.65
2011-08-30,334.75,468.55,203.3,1042.4,742.3
2011-09-02,334.95,490.1,203.65,1022.1,754.75
2011-09-05,332.15,494.7,201.95,1027.7,753.2
2011-09-06,331.65,495.45,202.4,1033.9,765.8
2011-09-07,337.05,498.5,205.0,1031.0,769.1
2011-09-08,339.25,491.35,207.5,1036.05,790.65
2011-09-09,332.35,476.9,207.2,1016.05,764.9
2011-09-12,329.3,454.85,201.3,985.7,146.35
2011-09-13,327.05,457.35,201.55,993.75,139.6
2011-09-14,329.55,469.5,204.6,1015.1,142.5
2011-09-15,329.45,465.65,205.1,1041.75,151.2
2011-09-16,328.85,460.85,204.25,1027.75,161.85
2011-09-19,330.0,453.75,203.2,1018.05,161.7
2011-09-20,334.5,461.1,204.35,1057.95,166.2
2011-09-21,337.45,458.5,202.9,1043.5,164.85
2011-09-22,332.3,442.4,192.95,994.4,154.65
2011-09-23,323.4,432.8,192.05,990.3,146.85
2011-09-26,319.1,435.45,190.0,996.95,146.75
2011-09-27,327.7,438.95,194.9,1040.55,155.75
2011-09-28,320.55,427.4,189.55,1047.9,156.05
2011-09-29,319.1,433.8,187.3,1061.45,160.9
2011-09-30,316.15,415.35,186.35,1037.3,156.05
2011-10-03,302.75,394.65,184.3,1043.3,153.6
2011-10-04,301.6,397.55,179.95,1045.95,146.7
2011-10-05,295.0,400.6,179.55,1043.55,147.4
2011-10-07,297.5,419.7,182.0,1048.55,159.15
2011-10-10,308.45,434.95,186.35,1064.7,170.75
2011-10-11,311.95,433.55,182.1,1040.85,176.75
2011-10-12,314.1,444.1,183.2,1079.05,180.75
2011-10-13,320.0,453.4,182.25,1092.75,175.85
2011-10-14,318.1,437.85,184.25,1134.25,180.05
2011-10-17,318.5,440.05,190.85,1120.25,188.1
2011-10-18,319.6,429.25,184.85,1033.55,181.25
2011-10-19,319.9,434.0,186.15,1048.95,186.95
2011-10-20,316.15,441.6,183.0,1044.9,183.1
2011-10-21,308.25,433.0,183.0,1049.85,178.15
2011-10-24,310.8,436.55,182.9,1079.75,186.15
2011-10-25,321.05,452.05,183.2,1098.65,191.8
2011-10-26,323.55,451.3,185.55,1095.9,191.8
2011-10-28,337.5,483.7,188.65,1121.5,206.8
2011-10-31,332.8,482.8,189.1,1115.8,198.45
2011-11-01,321.6,472.0,185.7,1108.45,193.45
2011-11-02,328.1,467.85,186.05,1106.85,192.1
2011-11-03,328.8,461.7,185.85,1105.0,188.7
2011-11-04,330.8,467.15,187.75,1099.8,188.1
2011-11-08,329.8,467.4,186.8,1105.25,189.7
2011-11-09,331.85,447.6,187.2,1122.95,184.75
2011-11-11,331.0,429.85,196.3,1131.0,181.45
2011-11-14,335.7,412.5,194.5,1128.4,177.8
2011-11-15,330.1,400.45,189.15,1124.4,181.25
2011-11-16,326.8,405.95,192.3,1117.25,182.3
2011-11-17,329.85,400.1,188.0,1115.15,175.15
2011-11-18,330.0,391.4,186.2,1086.6,170.3
2011-11-21,330.35,379.7,187.4,1067.2,161.55
2011-11-22,331.6,391.7,187.85,1081.85,172.45
2011-11-23,329.6,382.65,180.7,1062.3,168.35
2011-11-24,330.1,385.6,182.05,1091.8,173.05
2011-11-25,344.45,374.95,186.4,1063.9,171.85
2011-11-28,343.55,386.95,192.6,1088.5,181.85
2011-11-29,342.35,387.15,191.25,1093.3,177.45
2011-11-30,346.05,385.2,191.6,1115.55,172.8
2011-12-01,350.85,402.65,193.3,1134.8,183.0
2011-12-02,352.85,419.1,196.8,1178.0,191.9
2011-12-05,351.55,411.15,199.2,1180.95,191.6
2011-12-07,356.5,417.55,196.65,1179.55,191.4
2011-12-08,356.15,404.05,190.9,1177.6,188.55
2011-12-09,351.8,397.55,190.5,1172.4,183.0
2011-12-12,347.7,385.45,188.95,1180.35,177.35
2011-12-13,344.9,392.6,190.9,1178.7,178.9
2011-12-14,335.05,375.75,197.85,1182.45,177.1
2011-12-15,334.7,375.25,203.0,1182.5,172.65
2011-12-16,326.65,364.95,201.15,1146.3,172.4
2011-12-19,325.55,363.6,207.25,1143.65,179.8
2011-12-20,315.0,342.75,211.1,1133.35,174.9
2011-12-21,317.8,349.45,212.75,1158.7,177.0
2011-12-22,320.55,353.9,209.35,1151.7,183.6
2011-12-23,314.05,347.3,207.4,1157.15,184.95
2011-12-26,316.8,357.65,214.25,1188.4,186.75
2011-12-27,312.65,349.15,211.05,1179.45,182.1
2011-12-28,307.5,346.85,211.25,1169.2,180.2
2011-12-29,307.5,341.9,213.05,1165.7,179.15
2011-12-30,312.55,335.35,212.5,1160.65,178.7
2012-01-02,308.85,341.1,212.8,1178.6,183.95
2012-01-03,316.15,361.85,218.5,1197.6,193.95
2012-01-04,314.1,363.95,215.75,1173.0,201.2
2012-01-05,311.9,362.6,215.75,1172.0,202.1
2012-01-06,310.45,363.65,215.5,1169.4,203.6
2012-01-07,319.95,362.75,214.4,1172.5,203.25
2012-01-09,318.65,361.75,215.9,1171.35,200.6
2012-01-10,320.65,371.75,217.2,1165.4,205.1
2012-01-11,313.75,383.0,216.7,1137.0,204.9
2012-01-12,315.05,388.85,223.45,1089.5,206.2
2012-01-13,315.4,415.7,222.5,1085.75,208.8
2012-01-16,314.4,421.75,221.5,1109.4,213.75
2012-01-17,324.6,442.75,220.55,1103.95,217.4
2012-01-18,321.6,424.9,216.75,1076.15,213.85
2012-01-19,324.2,435.85,221.1,1075.55,218.45
2012-01-20,324.0,436.55,219.5,1079.5,219.1
2012-01-23,326.0,426.55,225.2,1077.7,219.1
2012-01-24,329.7,432.35,226.8,1088.7,221.95
2012-01-25,326.3,444.85,236.4,1098.0,230.95
2012-01-27,336.75,458.75,231.95,1108.75,239.85
2012-01-30,334.25,442.3,222.9,1111.75,233.9
2012-01-31,341.35,450.8,225.65,1132.4,243.75
2012-02-01,346.5,470.95,225.9,1128.7,248.4
2012-02-02,349.05,475.9,232.2,1148.0,246.45
2012-02-03,345.0,467.5,229.2,1171.55,247.65
2012-02-06,348.5,467.25,228.05,1193.85,251.75
2012-02-07,344.8,451.35,222.15,1198.0,250.35
2012-02-08,347.05,450.65,224.35,1219.65,250.6
2012-02-09,351.55,452.15,224.0,1228.6,257.3
2012-02-10,357.0,475.05,223.6,1233.4,257.35
2012-02-13,363.45,485.2,221.85,1225.7,258.3
2012-02-14,360.0,487.95,238.8,1220.0,267.95
2012-02-15,368.3,495.15,239.75,1241.6,287.85
2012-02-16,370.05,479.1,235.2,1225.35,275.9
2012-02-17,371.5,478.0,236.65,1228.75,273.95
2012-02-21,366.4,491.5,238.55,1237.05,271.3
2012-02-22,354.4,470.5,253.8,1252.35,268.45
2012-02-23,353.25,471.4,250.3,1259.8,268.45
2012-02-24,355.0,475.5,235.35,1270.0,265.45
